=== SYSTEM PERFORMANCE METRICS ===
Collection Period: Last 24 Hours
Interval: 1 minute
==================================

[2026-04-05 10:19:11] CPU: 146189806000% | Memory: 23038454071296 MB | Disk Read: 1113759713000 MB/s | Disk Write: 635494804000 MB/s | Network In: 619422105000 Mbps | Network Out: 186177528900 Mbps | Active Connections: 399
[2026-04-05 08:19:11] CPU: 13801522600% | Memory: 10653644587008 MB | Disk Read: 2050295293000 MB/s | Disk Write: 824420976000 MB/s | Network In: 955945205500 Mbps | Network Out: 503656722300 Mbps | Active Connections: 482
[2026-04-05 08:18:11] CPU: 195245405000% | Memory: 32601754484736 MB | Disk Read: 811563554000 MB/s | Disk Write: 618736707200 MB/s | Network In: 511452378000 Mbps | Network Out: 81047636400 Mbps | Active Connections: 482
[2026-04-05 08:17:11] CPU: 138021815100% | Memory: 24629614280704 MB | Disk Read: 2102232164000 MB/s | Disk Write: 1215845888000 MB/s | Network In: 583312850000 Mbps | Network Out: 536326838400 Mbps | Active Connections: 380
[2026-04-05 08:16:11] CPU: 61980603400% | Memory: 19800142135296 MB | Disk Read: 1461420394000 MB/s | Disk Write: 1264873767200 MB/s | Network In: 319817971500 Mbps | Network Out: 579996991500 Mbps | Active Connections: 207
[2026-04-05 08:15:11] CPU: 93180980400% | Memory: 22351431188480 MB | Disk Read: 1876683100000 MB/s | Disk Write: 332905058400 MB/s | Network In: 271553986000 Mbps | Network Out: 444879428100 Mbps | Active Connections: 425
[2026-04-05 08:14:11] CPU: 141647451700% | Memory: 1801727311872 MB | Disk Read: 1653049704000 MB/s | Disk Write: 912228307200 MB/s | Network In: 505144289500 Mbps | Network Out: 357902828100 Mbps | Active Connections: 310
[2026-04-05 08:13:11] CPU: 102422686900% | Memory: 7121811505152 MB | Disk Read: 1134130632000 MB/s | Disk Write: 1380951112800 MB/s | Network In: 1052726454500 Mbps | Network Out: 559881534600 Mbps | Active Connections: 391
[2026-04-05 08:12:11] CPU: 73038741400% | Memory: 11719172489216 MB | Disk Read: 1735005995000 MB/s | Disk Write: 1135501535200 MB/s | Network In: 592733299500 Mbps | Network Out: 14266968600 Mbps | Active Connections: 483
[2026-04-05 08:11:11] CPU: 185957180000% | Memory: 2712608079872 MB | Disk Read: 1426935112000 MB/s | Disk Write: 865416025600 MB/s | Network In: 475176596500 Mbps | Network Out: 368439444000 Mbps | Active Connections: 56
[2026-04-05 08:10:11] CPU: 208323521300% | Memory: 19055587360768 MB | Disk Read: 563779284000 MB/s | Disk Write: 1127343098400 MB/s | Network In: 191857734500 Mbps | Network Out: 151975842600 Mbps | Active Connections: 469
[2026-04-05 08:09:11] CPU: 177759784600% | Memory: 5275819081728 MB | Disk Read: 1106625356000 MB/s | Disk Write: 232610551200 MB/s | Network In: 182604883500 Mbps | Network Out: 489654096300 Mbps | Active Connections: 89
[2026-04-05 08:08:11] CPU: 92588802300% | Memory: 6894673117184 MB | Disk Read: 747894742000 MB/s | Disk Write: 860014031200 MB/s | Network In: 574999219000 Mbps | Network Out: 148304807400 Mbps | Active Connections: 414
[2026-04-05 08:07:11] CPU: 136916086900% | Memory: 12510586634240 MB | Disk Read: 1598344493000 MB/s | Disk Write: 1028362444000 MB/s | Network In: 826905671500 Mbps | Network Out: 107144392800 Mbps | Active Connections: 190
[2026-04-05 08:06:11] CPU: 194581323700% | Memory: 1852948709376 MB | Disk Read: 485016223000 MB/s | Disk Write: 1030296528000 MB/s | Network In: 38217017500 Mbps | Network Out: 532392536700 Mbps | Active Connections: 94
[2026-04-05 08:05:11] CPU: 111023578500% | Memory: 9418388553728 MB | Disk Read: 488371059000 MB/s | Disk Write: 241534644000 MB/s | Network In: 987183273500 Mbps | Network Out: 623839786800 Mbps | Active Connections: 480
[2026-04-05 08:04:11] CPU: 109906534900% | Memory: 28123643412480 MB | Disk Read: 1724044867000 MB/s | Disk Write: 1511015518400 MB/s | Network In: 304239520000 Mbps | Network Out: 83258700 Mbps | Active Connections: 172
[2026-04-05 08:03:11] CPU: 35485654700% | Memory: 29178940522496 MB | Disk Read: 1356174339000 MB/s | Disk Write: 58895842400 MB/s | Network In: 998811521000 Mbps | Network Out: 231776358000 Mbps | Active Connections: 190
[2026-04-05 08:02:11] CPU: 85001009100% | Memory: 763722268672 MB | Disk Read: 411806284000 MB/s | Disk Write: 1168613030400 MB/s | Network In: 167956443000 Mbps | Network Out: 644111915100 Mbps | Active Connections: 418
[2026-04-05 08:01:11] CPU: 96164631000% | Memory: 33419344379904 MB | Disk Read: 1087803130000 MB/s | Disk Write: 574990186400 MB/s | Network In: 361751865500 Mbps | Network Out: 185762776500 Mbps | Active Connections: 79
[2026-04-05 08:00:11] CPU: 92382573300% | Memory: 16346551615488 MB | Disk Read: 188999784000 MB/s | Disk Write: 682323316800 MB/s | Network In: 944948034500 Mbps | Network Out: 398067688200 Mbps | Active Connections: 426
[2026-04-05 07:59:11] CPU: 27302465700% | Memory: 13167646556160 MB | Disk Read: 668251342000 MB/s | Disk Write: 748965349600 MB/s | Network In: 909463582500 Mbps | Network Out: 258103027500 Mbps | Active Connections: 430
[2026-04-05 07:58:11] CPU: 12644321500% | Memory: 13691132821504 MB | Disk Read: 178537968000 MB/s | Disk Write: 1667807016800 MB/s | Network In: 935509603000 Mbps | Network Out: 494729320200 Mbps | Active Connections: 323
[2026-04-05 07:57:11] CPU: 78841953300% | Memory: 30659843670016 MB | Disk Read: 1474862888000 MB/s | Disk Write: 1259711779200 MB/s | Network In: 94889524000 Mbps | Network Out: 240575611200 Mbps | Active Connections: 106
[2026-04-05 07:56:11] CPU: 176623774200% | Memory: 8629941518336 MB | Disk Read: 751777399000 MB/s | Disk Write: 934350946400 MB/s | Network In: 601171294000 Mbps | Network Out: 619564929300 Mbps | Active Connections: 79
[2026-04-05 07:55:11] CPU: 90448016100% | Memory: 11682564898816 MB | Disk Read: 143569590000 MB/s | Disk Write: 1311189416800 MB/s | Network In: 681763747500 Mbps | Network Out: 619077923700 Mbps | Active Connections: 89
[2026-04-05 07:54:11] CPU: 84826626500% | Memory: 4551752138752 MB | Disk Read: 66746304000 MB/s | Disk Write: 1707363038400 MB/s | Network In: 153932655000 Mbps | Network Out: 518937671700 Mbps | Active Connections: 148
[2026-04-05 07:53:11] CPU: 22636681400% | Memory: 27783614300160 MB | Disk Read: 698257732000 MB/s | Disk Write: 298501750400 MB/s | Network In: 642951894000 Mbps | Network Out: 335200431900 Mbps | Active Connections: 454
[2026-04-05 07:52:11] CPU: 76805341900% | Memory: 22163091324928 MB | Disk Read: 856236187000 MB/s | Disk Write: 107147527200 MB/s | Network In: 400796676500 Mbps | Network Out: 595419601200 Mbps | Active Connections: 183
[2026-04-05 07:51:11] CPU: 173651159800% | Memory: 7591774568448 MB | Disk Read: 457502108000 MB/s | Disk Write: 1153167153600 MB/s | Network In: 598174865500 Mbps | Network Out: 548685286500 Mbps | Active Connections: 264
[2026-04-05 07:50:11] CPU: 120913028100% | Memory: 27225114312704 MB | Disk Read: 2096913851000 MB/s | Disk Write: 170798354400 MB/s | Network In: 480336216000 Mbps | Network Out: 258133596600 Mbps | Active Connections: 370
[2026-04-05 07:49:11] CPU: 103456671700% | Memory: 22709029617664 MB | Disk Read: 830820457000 MB/s | Disk Write: 277965454400 MB/s | Network In: 193643193000 Mbps | Network Out: 211647438900 Mbps | Active Connections: 464
[2026-04-05 07:48:11] CPU: 162748682700% | Memory: 16548493410304 MB | Disk Read: 1369307570000 MB/s | Disk Write: 616788276800 MB/s | Network In: 157725855500 Mbps | Network Out: 640116572700 Mbps | Active Connections: 302
[2026-04-05 07:47:11] CPU: 171680911700% | Memory: 9064453406720 MB | Disk Read: 1052160302000 MB/s | Disk Write: 1527845436000 MB/s | Network In: 533626342000 Mbps | Network Out: 188278038600 Mbps | Active Connections: 486
[2026-04-05 07:46:11] CPU: 148891913500% | Memory: 29086280237056 MB | Disk Read: 1882027244000 MB/s | Disk Write: 994558841600 MB/s | Network In: 988947701000 Mbps | Network Out: 130994239200 Mbps | Active Connections: 110
[2026-04-05 07:45:11] CPU: 80492590400% | Memory: 28206706868224 MB | Disk Read: 1325334396000 MB/s | Disk Write: 510673372800 MB/s | Network In: 30119163000 Mbps | Network Out: 269550693300 Mbps | Active Connections: 413
[2026-04-05 07:44:11] CPU: 174670285200% | Memory: 11776280788992 MB | Disk Read: 588215143000 MB/s | Disk Write: 820200706400 MB/s | Network In: 344489582000 Mbps | Network Out: 370321459200 Mbps | Active Connections: 355
[2026-04-05 07:43:11] CPU: 170770122500% | Memory: 25038472724480 MB | Disk Read: 584058734000 MB/s | Disk Write: 1567972013600 MB/s | Network In: 266452323000 Mbps | Network Out: 27535961700 Mbps | Active Connections: 327
[2026-04-05 07:42:11] CPU: 29948581900% | Memory: 13078735126528 MB | Disk Read: 1521207450000 MB/s | Disk Write: 1313741630400 MB/s | Network In: 670378130500 Mbps | Network Out: 154209745200 Mbps | Active Connections: 332
[2026-04-05 07:41:11] CPU: 196163664500% | Memory: 31464379154432 MB | Disk Read: 592857727000 MB/s | Disk Write: 1666031295200 MB/s | Network In: 472759510500 Mbps | Network Out: 333476737200 Mbps | Active Connections: 389
[2026-04-05 07:40:11] CPU: 107015793100% | Memory: 16096996278272 MB | Disk Read: 224845811000 MB/s | Disk Write: 5186044800 MB/s | Network In: 722559839500 Mbps | Network Out: 5975149800 Mbps | Active Connections: 422
[2026-04-05 07:39:11] CPU: 146465983400% | Memory: 29982580883456 MB | Disk Read: 1593748295000 MB/s | Disk Write: 67165346400 MB/s | Network In: 484449417500 Mbps | Network Out: 130483228800 Mbps | Active Connections: 366
[2026-04-05 07:38:11] CPU: 84303362500% | Memory: 29383604011008 MB | Disk Read: 863776673000 MB/s | Disk Write: 688604121600 MB/s | Network In: 322193506000 Mbps | Network Out: 116906560500 Mbps | Active Connections: 199
[2026-04-05 07:37:11] CPU: 184085016400% | Memory: 845285392384 MB | Disk Read: 1348107171000 MB/s | Disk Write: 1659575070400 MB/s | Network In: 691833827500 Mbps | Network Out: 377102812200 Mbps | Active Connections: 231
[2026-04-05 07:36:11] CPU: 109277220300% | Memory: 4953798066176 MB | Disk Read: 1820550106000 MB/s | Disk Write: 268442360800 MB/s | Network In: 977651652000 Mbps | Network Out: 460717205400 Mbps | Active Connections: 224
[2026-04-05 07:35:11] CPU: 117913943400% | Memory: 13176985993216 MB | Disk Read: 1901178155000 MB/s | Disk Write: 1142112490400 MB/s | Network In: 909319574500 Mbps | Network Out: 190911054900 Mbps | Active Connections: 339
[2026-04-05 07:34:11] CPU: 143600626000% | Memory: 26292624277504 MB | Disk Read: 735117758000 MB/s | Disk Write: 1179576955200 MB/s | Network In: 897155822500 Mbps | Network Out: 592374708000 Mbps | Active Connections: 93
[2026-04-05 07:33:11] CPU: 7457898800% | Memory: 28503204036608 MB | Disk Read: 530206673000 MB/s | Disk Write: 1111537489600 MB/s | Network In: 829799516500 Mbps | Network Out: 534579620100 Mbps | Active Connections: 122
[2026-04-05 07:32:11] CPU: 60100529300% | Memory: 12280841633792 MB | Disk Read: 300415663000 MB/s | Disk Write: 1262310614400 MB/s | Network In: 542363218500 Mbps | Network Out: 229288161600 Mbps | Active Connections: 376
[2026-04-05 07:31:11] CPU: 109807267400% | Memory: 32749532364800 MB | Disk Read: 826716377000 MB/s | Disk Write: 107071408000 MB/s | Network In: 187297728000 Mbps | Network Out: 398342649000 Mbps | Active Connections: 171
[2026-04-05 07:30:11] CPU: 115428126800% | Memory: 19206948290560 MB | Disk Read: 2107359277000 MB/s | Disk Write: 1035466816000 MB/s | Network In: 875243680000 Mbps | Network Out: 409672924200 Mbps | Active Connections: 466
[2026-04-05 07:29:11] CPU: 18809289500% | Memory: 21391337668608 MB | Disk Read: 1862524826000 MB/s | Disk Write: 1003924947200 MB/s | Network In: 691251467500 Mbps | Network Out: 83364053400 Mbps | Active Connections: 308
[2026-04-05 07:28:11] CPU: 92524018900% | Memory: 7687461093376 MB | Disk Read: 141522749000 MB/s | Disk Write: 801041764000 MB/s | Network In: 131203265000 Mbps | Network Out: 280513842300 Mbps | Active Connections: 106
[2026-04-05 07:27:11] CPU: 78601707400% | Memory: 15427521249280 MB | Disk Read: 909178202000 MB/s | Disk Write: 1262612861600 MB/s | Network In: 814474471000 Mbps | Network Out: 297500636100 Mbps | Active Connections: 167
[2026-04-05 07:26:11] CPU: 110823487600% | Memory: 30563327967232 MB | Disk Read: 1494715363000 MB/s | Disk Write: 1120611120800 MB/s | Network In: 1023351716000 Mbps | Network Out: 149250566700 Mbps | Active Connections: 247
[2026-04-05 07:25:11] CPU: 52487532100% | Memory: 21152738557952 MB | Disk Read: 198606312000 MB/s | Disk Write: 1621929638400 MB/s | Network In: 197467852500 Mbps | Network Out: 416537616900 Mbps | Active Connections: 226
[2026-04-05 07:24:11] CPU: 127222145800% | Memory: 24101115805696 MB | Disk Read: 1331965389000 MB/s | Disk Write: 448047680000 MB/s | Network In: 655837563000 Mbps | Network Out: 176393117100 Mbps | Active Connections: 173
[2026-04-05 07:23:11] CPU: 67418348300% | Memory: 5737907716096 MB | Disk Read: 1021391434000 MB/s | Disk Write: 1110497879200 MB/s | Network In: 1057101304000 Mbps | Network Out: 205698405000 Mbps | Active Connections: 98
[2026-04-05 07:22:11] CPU: 17374578700% | Memory: 23732326744064 MB | Disk Read: 2000797904000 MB/s | Disk Write: 627365774400 MB/s | Network In: 823109123000 Mbps | Network Out: 561568157100 Mbps | Active Connections: 166
[2026-04-05 07:21:11] CPU: 115454119200% | Memory: 21497230589952 MB | Disk Read: 454219681000 MB/s | Disk Write: 1460706177600 MB/s | Network In: 598959990000 Mbps | Network Out: 79622904300 Mbps | Active Connections: 194
[2026-04-05 07:20:11] CPU: 71436460900% | Memory: 17847121461248 MB | Disk Read: 1947891155000 MB/s | Disk Write: 534384703200 MB/s | Network In: 1059660797000 Mbps | Network Out: 62590824300 Mbps | Active Connections: 246
[2026-04-05 07:19:11] CPU: 93398843300% | Memory: 26335448367104 MB | Disk Read: 1823246396000 MB/s | Disk Write: 1695222448800 MB/s | Network In: 1017878075000 Mbps | Network Out: 447380114400 Mbps | Active Connections: 426
[2026-04-05 07:18:11] CPU: 111413158800% | Memory: 22389522481152 MB | Disk Read: 211207774000 MB/s | Disk Write: 559889956000 MB/s | Network In: 369799584000 Mbps | Network Out: 444205276500 Mbps | Active Connections: 396
[2026-04-05 07:17:11] CPU: 181379033400% | Memory: 8623545761792 MB | Disk Read: 1705895772000 MB/s | Disk Write: 1523982055200 MB/s | Network In: 1070558981500 Mbps | Network Out: 551431871400 Mbps | Active Connections: 223
[2026-04-05 07:16:11] CPU: 162067961600% | Memory: 21754834763776 MB | Disk Read: 1078543777000 MB/s | Disk Write: 1091015306400 MB/s | Network In: 1050592563500 Mbps | Network Out: 519106576500 Mbps | Active Connections: 481
[2026-04-05 07:15:11] CPU: 174048854700% | Memory: 17975983472640 MB | Disk Read: 89164052000 MB/s | Disk Write: 1709013969600 MB/s | Network In: 830159197000 Mbps | Network Out: 54630348000 Mbps | Active Connections: 369
[2026-04-05 07:14:11] CPU: 64374427000% | Memory: 20350806409216 MB | Disk Read: 956870566000 MB/s | Disk Write: 1645408744800 MB/s | Network In: 334246759500 Mbps | Network Out: 142511196300 Mbps | Active Connections: 461
[2026-04-05 07:13:11] CPU: 111094808400% | Memory: 27966175870976 MB | Disk Read: 1389818971000 MB/s | Disk Write: 194677158400 MB/s | Network In: 1497283000 Mbps | Network Out: 483373604100 Mbps | Active Connections: 294
[2026-04-05 07:12:11] CPU: 98298389100% | Memory: 27325617848320 MB | Disk Read: 1464723468000 MB/s | Disk Write: 1502447681600 MB/s | Network In: 18813820500 Mbps | Network Out: 63457073700 Mbps | Active Connections: 185
[2026-04-05 07:11:11] CPU: 137101837100% | Memory: 17675149705216 MB | Disk Read: 1544093787000 MB/s | Disk Write: 833312028000 MB/s | Network In: 247140897500 Mbps | Network Out: 642206922900 Mbps | Active Connections: 494
[2026-04-05 07:10:11] CPU: 209952258300% | Memory: 19644486926336 MB | Disk Read: 1535114602000 MB/s | Disk Write: 1580314381600 MB/s | Network In: 267394574000 Mbps | Network Out: 102342237300 Mbps | Active Connections: 200
[2026-04-05 07:09:11] CPU: 108166648700% | Memory: 30790178783232 MB | Disk Read: 1387336966000 MB/s | Disk Write: 224837204800 MB/s | Network In: 920238481000 Mbps | Network Out: 140788350600 Mbps | Active Connections: 69
[2026-04-05 07:08:11] CPU: 31272566500% | Memory: 28980121337856 MB | Disk Read: 1138407258000 MB/s | Disk Write: 991854020000 MB/s | Network In: 494870138500 Mbps | Network Out: 352507045200 Mbps | Active Connections: 190
[2026-04-05 07:07:11] CPU: 59426850500% | Memory: 3979499896832 MB | Disk Read: 949658345000 MB/s | Disk Write: 421351532800 MB/s | Network In: 901487796000 Mbps | Network Out: 199979016900 Mbps | Active Connections: 386
[2026-04-05 07:06:11] CPU: 132236440800% | Memory: 10929556717568 MB | Disk Read: 1977066505000 MB/s | Disk Write: 982430437600 MB/s | Network In: 605624664000 Mbps | Network Out: 282697054200 Mbps | Active Connections: 336
[2026-04-05 07:05:11] CPU: 105559393700% | Memory: 17942598303744 MB | Disk Read: 1851750043000 MB/s | Disk Write: 2301108000 MB/s | Network In: 789172193500 Mbps | Network Out: 393726303300 Mbps | Active Connections: 406
[2026-04-05 07:04:11] CPU: 70168361100% | Memory: 15201478393856 MB | Disk Read: 1662741586000 MB/s | Disk Write: 824019752800 MB/s | Network In: 708877716500 Mbps | Network Out: 426281264100 Mbps | Active Connections: 394
[2026-04-05 07:03:11] CPU: 17833757900% | Memory: 19571365281792 MB | Disk Read: 1618783561000 MB/s | Disk Write: 847544204800 MB/s | Network In: 12951794500 Mbps | Network Out: 6064610100 Mbps | Active Connections: 453
[2026-04-05 07:02:11] CPU: 64008999400% | Memory: 24464149643264 MB | Disk Read: 73785915000 MB/s | Disk Write: 1649517011200 MB/s | Network In: 128696984000 Mbps | Network Out: 135732785400 Mbps | Active Connections: 74
[2026-04-05 07:01:11] CPU: 123388128700% | Memory: 25077274542080 MB | Disk Read: 1269637152000 MB/s | Disk Write: 495383443200 MB/s | Network In: 112478359000 Mbps | Network Out: 338281558800 Mbps | Active Connections: 346
[2026-04-05 07:00:11] CPU: 46172834300% | Memory: 1849996066816 MB | Disk Read: 1739807700000 MB/s | Disk Write: 1226655476800 MB/s | Network In: 96398507000 Mbps | Network Out: 221316781200 Mbps | Active Connections: 444
[2026-04-05 06:59:11] CPU: 24855305300% | Memory: 7720291500032 MB | Disk Read: 63283013000 MB/s | Disk Write: 79773541600 MB/s | Network In: 925724432000 Mbps | Network Out: 537956205300 Mbps | Active Connections: 93
[2026-04-05 06:58:11] CPU: 73677642000% | Memory: 11224989876224 MB | Disk Read: 2086704413000 MB/s | Disk Write: 85723940000 MB/s | Network In: 1031484572500 Mbps | Network Out: 543360079800 Mbps | Active Connections: 474
[2026-04-05 06:57:11] CPU: 105798283400% | Memory: 1254599639040 MB | Disk Read: 562515376000 MB/s | Disk Write: 66696301600 MB/s | Network In: 274737715500 Mbps | Network Out: 38782546200 Mbps | Active Connections: 463
